taxon_oid	Name	Classification	Root-NotRoot	Taxonomic_Group	IMG_Phylum	IMG_Class	IMG_Order	IMG_Family	IMG_Genus	Isolation_Site
2582581295	Acinetobacter_calcoaceticus_WP19	PA	PA	Acinetobacter	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Populus
2615840642	Acinetobacter_sp._YR461	PA	PA	Acinetobacter	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Populus
2551306352	Acinetobacter_sp._GG2	PA	PA	Acinetobacter	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Unknown
2643221895	Acinetobacter_sp._Leaf130	PA	PA	Acinetobacter	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Cologne
2609459760	Microbacterium_sp._CF046	PA	PA	Actinobacteria_one	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium	Populus
2609459766	Microbacterium_sp._CF332	PA	PA	Actinobacteria_one	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium	Populus
2585428157	Microbacterium_sp._CF335	PA	PA	Actinobacteria_one	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium	Populus
2643221872	Agreia_sp._Leaf283	PA	PA	Actinobacteria_one	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Agreia	Cologne
2643221748	Agreia_sp._Leaf210	PA	PA	Actinobacteria_one	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Agreia	Cologne
2643221787	Agreia_sp._Leaf244	PA	PA	Actinobacteria_one	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Agreia	Cologne
2643221902	Agreia_sp._Leaf335	PA	PA	Actinobacteria_one	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Agreia	Cologne
2643221754	Agromyces_sp._Leaf222	PA	PA	Actinobacteria_one	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Agromyces	Cologne
2643221904	Curtobacterium_sp._Leaf154	PA	PA	Actinobacteria_one	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Curtobacterium	Cologne
2643221815	Curtobacterium_sp._Leaf183	PA	PA	Actinobacteria_one	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Curtobacterium	Cologne
2643221840	Curtobacterium_sp._Leaf261	PA	PA	Actinobacteria_one	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Curtobacterium	Cologne
2643221770	Frigoribacterium_sp._Leaf44	PA	PA	Actinobacteria_one	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Frigoribacterium	Cologne
2643221922	Frigoribacterium_sp._Leaf186	PA	PA	Actinobacteria_one	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Frigoribacterium	Cologne
2643221741	Frigoribacterium_sp._Leaf8	PA	PA	Actinobacteria_one	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Frigoribacterium	Cologne
2643221908	Frigoribacterium_sp._Leaf164	PA	PA	Actinobacteria_one	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Frigoribacterium	Cologne
2643221912	Frigoribacterium_sp._Leaf172	PA	PA	Actinobacteria_one	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Frigoribacterium	Cologne
2643221862	Frigoribacterium_sp._Leaf263	PA	PA	Actinobacteria_one	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Frigoribacterium	Cologne
2643221827	Frigoribacterium_sp._Leaf415	PA	PA	Actinobacteria_one	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Frigoribacterium	Cologne
2643221887	Frondihabitans_sp._Leaf304	PA	PA	Actinobacteria_one	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Frondihabitans	Cologne
2643221910	Leifsonia_sp._Leaf336	PA	PA	Actinobacteria_one	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Leifsonia	Cologne
2643221865	Leifsonia_sp._Leaf264	PA	PA	Actinobacteria_one	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Leifsonia	Cologne
2643221897	Leifsonia_sp._Leaf325	PA	PA	Actinobacteria_one	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Leifsonia	Cologne
2643221803	Microbacterium_sp._Leaf288	PA	PA	Actinobacteria_one	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Cologne
2643221903	Microbacterium_sp._Leaf151	PA	PA	Actinobacteria_one	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Cologne
2643221811	Microbacterium_sp._Leaf351	PA	PA	Actinobacteria_one	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Cologne
2643221906	Microbacterium_sp._Leaf159	PA	PA	Actinobacteria_one	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Cologne
